"human_geneid","human_EnsemblID","human_Symbol","human_description","human_type_of_gene","mouse_EnsemblID","mouse_geneid"
36,"ENSG00000196177","ACADSB","acyl-CoA dehydrogenase short/branched chain","protein-coding","ENSMUSG00000030861",66885
37,"ENSG00000072778","ACADVL","acyl-CoA dehydrogenase very long chain","protein-coding","ENSMUSG00000018574",11370
38,"ENSG00000075239","ACAT1","acetyl-CoA acetyltransferase 1","protein-coding","ENSMUSG00000032047",110446
40,"ENSG00000108684","ASIC2","acid sensing ion channel subunit 2","protein-coding","ENSMUSG00000020704",11418
41,"ENSG00000110881","ASIC1","acid sensing ion channel subunit 1","protein-coding","ENSMUSG00000023017",11419
43,"ENSG00000087085","ACHE","acetylcholinesterase (Cartwright blood group)","protein-coding","ENSMUSG00000023328",11423
47,"ENSG00000131473","ACLY","ATP citrate lyase","protein-coding","ENSMUSG00000020917",104112
48,"ENSG00000122729","ACO1","aconitase 1","protein-coding","ENSMUSG00000028405",11428
49,"ENSG00000100312","ACR","acrosin","protein-coding","ENSMUSG00000022622",11434
50,"ENSG00000100412","ACO2","aconitase 2","protein-coding","ENSMUSG00000022477",11429
51,"ENSG00000161533","ACOX1","acyl-CoA oxidase 1","protein-coding","ENSMUSG00000020777",11430
52,"ENSG00000143727","ACP1","acid phosphatase 1","protein-coding","ENSMUSG00000044573",11431
53,"ENSG00000134575","ACP2","acid phosphatase 2, lysosomal","protein-coding","ENSMUSG00000002103",11432
54,"ENSG00000102575","ACP5","acid phosphatase 5, tartrate resistant","protein-coding","ENSMUSG00000001348",11433
55,"ENSG00000014257","ACP3","acid phosphatase 3","protein-coding","ENSMUSG00000032561",56318
56,"ENSG00000134940","ACRV1","acrosomal vesicle protein 1","protein-coding","ENSMUSG00000032110",11451
58,"ENSG00000143632","ACTA1","actin alpha 1, skeletal muscle","protein-coding","ENSMUSG00000031972",11459
59,"ENSG00000107796","ACTA2","actin alpha 2, smooth muscle","protein-coding","ENSMUSG00000035783",11475
60,"ENSG00000075624","ACTB","actin beta","protein-coding","ENSMUSG00000029580",11461
70,"ENSG00000159251","ACTC1","actin alpha cardiac muscle 1","protein-coding","ENSMUSG00000068614",11464
71,"ENSG00000184009","ACTG1","actin gamma 1","protein-coding","ENSMUSG00000062825",11465
72,"ENSG00000163017","ACTG2","actin gamma 2, smooth muscle","protein-coding","ENSMUSG00000059430",11468
81,"ENSG00000130402","ACTN4","actinin alpha 4","protein-coding","ENSMUSG00000054808",60595
86,"ENSG00000136518","ACTL6A","actin like 6A","protein-coding","ENSMUSG00000027671",56456
87,"ENSG00000072110","ACTN1","actinin alpha 1","protein-coding","ENSMUSG00000015143",109711
88,"ENSG00000077522","ACTN2","actinin alpha 2","protein-coding","ENSMUSG00000052374",11472
89,"ENSG00000248746","ACTN3","actinin alpha 3","protein-coding","ENSMUSG00000006457",11474
90,"ENSG00000115170","ACVR1","activin A receptor type 1","protein-coding","ENSMUSG00000026836",11477
91,"ENSG00000135503","ACVR1B","activin A receptor type 1B","protein-coding","ENSMUSG00000000532",11479
92,"ENSG00000121989","ACVR2A","activin A receptor type 2A","protein-coding","ENSMUSG00000052155",11480
93,"ENSG00000114739","ACVR2B","activin A receptor type 2B","protein-coding","ENSMUSG00000061393",11481
94,"ENSG00000139567","ACVRL1","activin A receptor like type 1","protein-coding","ENSMUSG00000000530",11482
95,"ENSG00000243989","ACY1","aminoacylase 1","protein-coding","ENSMUSG00000023262",109652
97,"ENSG00000119640","ACYP1","acylphosphatase 1","protein-coding","ENSMUSG00000008822",66204
98,"ENSG00000170634","ACYP2","acylphosphatase 2","protein-coding","ENSMUSG00000060923",75572
100,"ENSG00000196839","ADA","adenosine deaminase","protein-coding","ENSMUSG00000017697",11486
101,"ENSG00000151651","ADAM8","ADAM metallopeptidase domain 8","protein-coding","ENSMUSG00000025473",11501
102,"ENSG00000137845","ADAM10","ADAM metallopeptidase domain 10","protein-coding","ENSMUSG00000054693",11487
103,"ENSG00000160710","ADAR","adenosine deaminase RNA specific","protein-coding","ENSMUSG00000027951",56417
104,"ENSG00000197381","ADARB1","adenosine deaminase RNA specific B1","protein-coding","ENSMUSG00000020262",110532
105,"ENSG00000185736","ADARB2","adenosine deaminase RNA specific B2 (inactive)","protein-coding","ENSMUSG00000052551",94191
107,"ENSG00000164742","ADCY1","adenylate cyclase 1","protein-coding","ENSMUSG00000020431",432530
108,"ENSG00000078295","ADCY2","adenylate cyclase 2","protein-coding","ENSMUSG00000021536",210044
109,"ENSG00000138031","ADCY3","adenylate cyclase 3","protein-coding","ENSMUSG00000020654",104111
111,"ENSG00000173175","ADCY5","adenylate cyclase 5","protein-coding","ENSMUSG00000022840",224129
112,"ENSG00000174233","ADCY6","adenylate cyclase 6","protein-coding","ENSMUSG00000022994",11512
113,"ENSG00000121281","ADCY7","adenylate cyclase 7","protein-coding","ENSMUSG00000031659",11513
114,"ENSG00000155897","ADCY8","adenylate cyclase 8","protein-coding","ENSMUSG00000022376",11514
115,"ENSG00000162104","ADCY9","adenylate cyclase 9","protein-coding","ENSMUSG00000005580",11515
116,"ENSG00000141433","ADCYAP1","adenylate cyclase activating polypeptide 1","protein-coding","ENSMUSG00000024256",11516
117,"ENSG00000078549","ADCYAP1R1","ADCYAP receptor type I","protein-coding","ENSMUSG00000029778",11517
118,"ENSG00000087274","ADD1","adducin 1","protein-coding","ENSMUSG00000029106",11518
119,"ENSG00000075340","ADD2","adducin 2","protein-coding","ENSMUSG00000030000",11519
120,"ENSG00000148700","ADD3","adducin 3","protein-coding","ENSMUSG00000025026",27360
123,"ENSG00000147872","PLIN2","perilipin 2","protein-coding","ENSMUSG00000028494",11520
126,"ENSG00000248144","ADH1C","alcohol dehydrogenase 1C (class I), gamma polypeptide","protein-coding","ENSMUSG00000074207",11522
127,"ENSG00000198099","ADH4","alcohol dehydrogenase 4 (class II), pi polypeptide","protein-coding","ENSMUSG00000037797",26876
128,"ENSG00000197894","ADH5","alcohol dehydrogenase 5 (class III), chi polypeptide","protein-coding","ENSMUSG00000028138",11532
131,"ENSG00000196344","ADH7","alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide","protein-coding","ENSMUSG00000055301",11529
132,"ENSG00000156110","ADK","adenosine kinase","protein-coding","ENSMUSG00000039197",11534
133,"ENSG00000148926","ADM","adrenomedullin","protein-coding","ENSMUSG00000030790",11535
134,"ENSG00000163485","ADORA1","adenosine A1 receptor","protein-coding","ENSMUSG00000042429",11539
135,"ENSG00000128271","ADORA2A","adenosine A2a receptor","protein-coding","ENSMUSG00000020178",11540
136,"ENSG00000170425","ADORA2B","adenosine A2b receptor","protein-coding","ENSMUSG00000018500",11541
141,"ENSG00000144843","ADPRH","ADP-ribosylarginine hydrolase","protein-coding","ENSMUSG00000002844",11544
142,"ENSG00000143799","PARP1","poly(ADP-ribose) polymerase 1","protein-coding","ENSMUSG00000026496",11545
143,"ENSG00000102699","PARP4","poly(ADP-ribose) polymerase family member 4","protein-coding","ENSMUSG00000054509",328417
146,"ENSG00000171873","ADRA1D","adrenoceptor alpha 1D","protein-coding","ENSMUSG00000027335",11550
147,"ENSG00000170214","ADRA1B","adrenoceptor alpha 1B","protein-coding","ENSMUSG00000050541",11548
148,"ENSG00000120907","ADRA1A","adrenoceptor alpha 1A","protein-coding","ENSMUSG00000045875",11549
150,"ENSG00000150594","ADRA2A","adrenoceptor alpha 2A","protein-coding","ENSMUSG00000033717",11551
151,"ENSG00000274286","ADRA2B","adrenoceptor alpha 2B","protein-coding","ENSMUSG00000058620",11552
152,"ENSG00000184160","ADRA2C","adrenoceptor alpha 2C","protein-coding","ENSMUSG00000045318",11553
153,"ENSG00000043591","ADRB1","adrenoceptor beta 1","protein-coding","ENSMUSG00000035283",11554
154,"ENSG00000169252","ADRB2","adrenoceptor beta 2","protein-coding","ENSMUSG00000045730",11555
155,"ENSG00000188778","ADRB3","adrenoceptor beta 3","protein-coding","ENSMUSG00000031489",11556
156,"ENSG00000173020","GRK2","G protein-coupled receptor kinase 2","protein-coding","ENSMUSG00000024858",110355
157,"ENSG00000100077","GRK3","G protein-coupled receptor kinase 3","protein-coding","ENSMUSG00000042249",320129
158,"ENSG00000239900","ADSL","adenylosuccinate lyase","protein-coding","ENSMUSG00000022407",11564
159,"ENSG00000035687","ADSS2","adenylosuccinate synthase 2","protein-coding","ENSMUSG00000015961",11566
160,"ENSG00000196961","AP2A1","adaptor related protein complex 2 subunit alpha 1","protein-coding","ENSMUSG00000060279",11771
161,"ENSG00000183020","AP2A2","adaptor related protein complex 2 subunit alpha 2","protein-coding","ENSMUSG00000002957",11772
162,"ENSG00000100280","AP1B1","adaptor related protein complex 1 subunit beta 1","protein-coding","ENSMUSG00000009090",11764
163,"ENSG00000006125","AP2B1","adaptor related protein complex 2 subunit beta 1","protein-coding","ENSMUSG00000035152",71770
164,"ENSG00000166747","AP1G1","adaptor related protein complex 1 subunit gamma 1","protein-coding","ENSMUSG00000031731",11765
165,"ENSG00000106624","AEBP1","AE binding protein 1","protein-coding","ENSMUSG00000020473",11568
166,"ENSG00000104964","TLE5","TLE family member 5, transcriptional modulator","protein-coding","ENSMUSG00000054452",14797
167,"ENSG00000124812","CRISP1","cysteine rich secretory protein 1","protein-coding","ENSMUSG00000025431",11571
173,"ENSG00000079557","AFM","afamin","protein-coding","ENSMUSG00000029369",280662
174,"ENSG00000081051","AFP","alpha fetoprotein","protein-coding","ENSMUSG00000054932",11576
175,"ENSG00000038002","AGA","aspartylglucosaminidase","protein-coding","ENSMUSG00000031521",11593
176,"ENSG00000157766","ACAN","aggrecan","protein-coding","ENSMUSG00000030607",11595
177,"ENSG00000204305","AGER","advanced glycosylation end-product specific receptor","protein-coding","ENSMUSG00000015452",11596
178,"ENSG00000162688","AGL","amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase","protein-coding","ENSMUSG00000033400",77559
181,"ENSG00000159723","AGRP","agouti related neuropeptide","protein-coding","ENSMUSG00000005705",11604
182,"ENSG00000101384","JAG1","jagged canonical Notch ligand 1","protein-coding","ENSMUSG00000027276",16449
183,"ENSG00000135744","AGT","angiotensinogen","protein-coding","ENSMUSG00000031980",11606
185,"ENSG00000144891","AGTR1","angiotensin II receptor type 1","protein-coding","ENSMUSG00000054988",11608
186,"ENSG00000180772","AGTR2","angiotensin II receptor type 2","protein-coding","ENSMUSG00000068122",11609
187,"ENSG00000134817","APLNR","apelin receptor","protein-coding","ENSMUSG00000044338",23796
189,"ENSG00000172482","AGXT","alanine--glyoxylate aminotransferase","protein-coding","ENSMUSG00000026272",11611
190,"ENSG00000169297","NR0B1","nuclear receptor subfamily 0 group B member 1","protein-coding","ENSMUSG00000025056",11614
191,"ENSG00000101444","AHCY","adenosylhomocysteinase","protein-coding","ENSMUSG00000027597",269378
196,"ENSG00000106546","AHR","aryl hydrocarbon receptor","protein-coding","ENSMUSG00000019256",11622
197,"ENSG00000145192","AHSG","alpha 2-HS glycoprotein","protein-coding","ENSMUSG00000022868",11625
199,"ENSG00000204472","AIF1","allograft inflammatory factor 1","protein-coding","ENSMUSG00000024397",11629
202,"ENSG00000112297","CRYBG1","crystallin beta-gamma domain containing 1","protein-coding","ENSMUSG00000019866",11630
203,"ENSG00000106992","AK1","adenylate kinase 1","protein-coding","ENSMUSG00000026817",11636
204,"ENSG00000004455","AK2","adenylate kinase 2","protein-coding","ENSMUSG00000028792",11637
205,"ENSG00000162433","AK4","adenylate kinase 4","protein-coding","ENSMUSG00000028527",11639
207,"ENSG00000142208","AKT1","AKT serine/threonine kinase 1","protein-coding","ENSMUSG00000001729",11651
208,"ENSG00000105221","AKT2","AKT serine/threonine kinase 2","protein-coding","ENSMUSG00000004056",11652
210,"ENSG00000148218","ALAD","aminolevulinate dehydratase","protein-coding","ENSMUSG00000028393",17025
211,"ENSG00000023330","ALAS1","5'-aminolevulinate synthase 1","protein-coding","ENSMUSG00000032786",11655
212,"ENSG00000158578","ALAS2","5'-aminolevulinate synthase 2","protein-coding","ENSMUSG00000025270",11656
213,"ENSG00000163631","ALB","albumin","protein-coding","ENSMUSG00000029368",11657
214,"ENSG00000170017","ALCAM","activated leukocyte cell adhesion molecule","protein-coding","ENSMUSG00000022636",11658
215,"ENSG00000101986","ABCD1","ATP binding cassette subfamily D member 1","protein-coding","ENSMUSG00000031378",11666
217,"ENSG00000111275","ALDH2","aldehyde dehydrogenase 2 family member","protein-coding","ENSMUSG00000029455",11669
218,"ENSG00000108602","ALDH3A1","aldehyde dehydrogenase 3 family member A1","protein-coding","ENSMUSG00000019102",11670
219,"ENSG00000137124","ALDH1B1","aldehyde dehydrogenase 1 family member B1","protein-coding","ENSMUSG00000035561",72535
220,"ENSG00000184254","ALDH1A3","aldehyde dehydrogenase 1 family member A3","protein-coding","ENSMUSG00000015134",56847
221,"ENSG00000006534","ALDH3B1","aldehyde dehydrogenase 3 family member B1","protein-coding","ENSMUSG00000024885",67689
223,"ENSG00000143149","ALDH9A1","aldehyde dehydrogenase 9 family member A1","protein-coding","ENSMUSG00000026687",56752
225,"ENSG00000173208","ABCD2","ATP binding cassette subfamily D member 2","protein-coding","ENSMUSG00000055782",26874
226,"ENSG00000149925","ALDOA","aldolase, fructose-bisphosphate A","protein-coding","ENSMUSG00000030695",11674
229,"ENSG00000136872","ALDOB","aldolase, fructose-bisphosphate B","protein-coding","ENSMUSG00000028307",230163
230,"ENSG00000109107","ALDOC","aldolase, fructose-bisphosphate C","protein-coding","ENSMUSG00000017390",11676
231,"ENSG00000085662","AKR1B1","aldo-keto reductase family 1 member B","protein-coding","ENSMUSG00000001642",11677
238,"ENSG00000171094","ALK","ALK receptor tyrosine kinase","protein-coding","ENSMUSG00000055471",11682
239,"ENSG00000108839","ALOX12","arachidonate 12-lipoxygenase, 12S type","protein-coding","ENSMUSG00000000320",11684
240,"ENSG00000012779","ALOX5","arachidonate 5-lipoxygenase","protein-coding","ENSMUSG00000025701",11689
241,"ENSG00000132965","ALOX5AP","arachidonate 5-lipoxygenase activating protein","protein-coding","ENSMUSG00000060063",11690
242,"ENSG00000179477","ALOX12B","arachidonate 12-lipoxygenase, 12R type","protein-coding","ENSMUSG00000032807",11686
247,"ENSG00000179593","ALOX15B","arachidonate 15-lipoxygenase type B","protein-coding","ENSMUSG00000020891",11688
248,"ENSG00000163295","ALPI","alkaline phosphatase, intestinal","protein-coding","ENSMUSG00000079440",76768
249,"ENSG00000162551","ALPL","alkaline phosphatase, biomineralization associated","protein-coding","ENSMUSG00000028766",11647
257,"ENSG00000156150","ALX3","ALX homeobox 3","protein-coding","ENSMUSG00000014603",11694
258,"ENSG00000178522","AMBN","ameloblastin","protein-coding","ENSMUSG00000029288",11698
259,"ENSG00000106927","AMBP","alpha-1-microglobulin/bikunin precursor","protein-coding","ENSMUSG00000028356",11699
262,"ENSG00000123505","AMD1","adenosylmethionine decarboxylase 1","protein-coding","ENSMUSG00000075232",11702
265,"ENSG00000125363","AMELX","amelogenin X-linked","protein-coding","ENSMUSG00000031354",11704
267,"ENSG00000159461","AMFR","autocrine motility factor receptor","protein-coding","ENSMUSG00000031751",23802
268,"ENSG00000104899","AMH","anti-Mullerian hormone","protein-coding","ENSMUSG00000035262",11705
269,"ENSG00000135409","AMHR2","anti-Mullerian hormone receptor type 2","protein-coding","ENSMUSG00000023047",110542
270,"ENSG00000116748","AMPD1","adenosine monophosphate deaminase 1","protein-coding","ENSMUSG00000070385",229665
271,"ENSG00000116337","AMPD2","adenosine monophosphate deaminase 2","protein-coding","ENSMUSG00000027889",109674
272,"ENSG00000133805","AMPD3","adenosine monophosphate deaminase 3","protein-coding","ENSMUSG00000005686",11717
273,"ENSG00000078053","AMPH","amphiphysin","protein-coding","ENSMUSG00000021314",218038
274,"ENSG00000136717","BIN1","bridging integrator 1","protein-coding","ENSMUSG00000024381",30948
275,"ENSG00000145020","AMT","aminomethyltransferase","protein-coding","ENSMUSG00000032607",434437
283,"ENSG00000214274","ANG","angiogenin","protein-coding","ENSMUSG00000072115",11727
284,"ENSG00000154188","ANGPT1","angiopoietin 1","protein-coding","ENSMUSG00000022309",11600
285,"ENSG00000091879","ANGPT2","angiopoietin 2","protein-coding","ENSMUSG00000031465",11601
286,"ENSG00000029534","ANK1","ankyrin 1","protein-coding","ENSMUSG00000031543",11733
287,"ENSG00000145362","ANK2","ankyrin 2","protein-coding","ENSMUSG00000032826",109676
288,"ENSG00000151150","ANK3","ankyrin 3","protein-coding","ENSMUSG00000069601",11735
290,"ENSG00000166825","ANPEP","alanyl aminopeptidase, membrane","protein-coding","ENSMUSG00000039062",16790
291,"ENSG00000151729","SLC25A4","solute carrier family 25 member 4","protein-coding","ENSMUSG00000031633",11739
292,"ENSG00000005022","SLC25A5","solute carrier family 25 member 5","protein-coding","ENSMUSG00000016319",11740
301,"ENSG00000135046","ANXA1","annexin A1","protein-coding","ENSMUSG00000024659",16952
302,"ENSG00000182718","ANXA2","annexin A2","protein-coding","ENSMUSG00000032231",12306
306,"ENSG00000138772","ANXA3","annexin A3","protein-coding","ENSMUSG00000029484",11745
307,"ENSG00000196975","ANXA4","annexin A4","protein-coding","ENSMUSG00000029994",11746
308,"ENSG00000164111","ANXA5","annexin A5","protein-coding","ENSMUSG00000027712",11747
309,"ENSG00000197043","ANXA6","annexin A6","protein-coding","ENSMUSG00000018340",11749
310,"ENSG00000138279","ANXA7","annexin A7","protein-coding","ENSMUSG00000021814",11750
311,"ENSG00000122359","ANXA11","annexin A11","protein-coding","ENSMUSG00000021866",11744
312,"ENSG00000104537","ANXA13","annexin A13","protein-coding","ENSMUSG00000055114",69787
313,"ENSG00000136250","AOAH","acyloxyacyl hydrolase","protein-coding","ENSMUSG00000021322",27052
314,"ENSG00000131480","AOC2","amine oxidase copper containing 2","protein-coding","ENSMUSG00000078651",237940
316,"ENSG00000138356","AOX1","aldehyde oxidase 1","protein-coding","ENSMUSG00000063558",11761
317,"ENSG00000120868","APAF1","apoptotic peptidase activating factor 1","protein-coding","ENSMUSG00000019979",11783
318,"ENSG00000164978","NUDT2","nudix hydrolase 2","protein-coding","ENSMUSG00000028443",66401
319,"ENSG00000175336","APOF","apolipoprotein F","protein-coding","ENSMUSG00000047631",103161
320,"ENSG00000107282","APBA1","amyloid beta precursor protein binding family A member 1","protein-coding","ENSMUSG00000024897",319924
321,"ENSG00000034053","APBA2","amyloid beta precursor protein binding family A member 2","protein-coding","ENSMUSG00000030519",11784
322,"ENSG00000166313","APBB1","amyloid beta precursor protein binding family B member 1","protein-coding","ENSMUSG00000037032",11785
323,"ENSG00000163697","APBB2","amyloid beta precursor protein binding family B member 2","protein-coding","ENSMUSG00000029207",11787
324,"ENSG00000134982","APC","APC regulator of WNT signaling pathway","protein-coding","ENSMUSG00000005871",11789
325,"ENSG00000132703","APCS","amyloid P component, serum","protein-coding","ENSMUSG00000026542",20219
326,"ENSG00000160224","AIRE","autoimmune regulator","protein-coding","ENSMUSG00000000731",11634
327,"ENSG00000164062","APEH","acylaminoacyl-peptide hydrolase","protein-coding","ENSMUSG00000032590",235606
328,"ENSG00000100823","APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1","protein-coding","ENSMUSG00000035960",11792
329,"ENSG00000110330","BIRC2","baculoviral IAP repeat containing 2","protein-coding","ENSMUSG00000057367",11797
331,"ENSG00000101966","XIAP","X-linked inhibitor of apoptosis","protein-coding","ENSMUSG00000025860",11798
332,"ENSG00000089685","BIRC5","baculoviral IAP repeat containing 5","protein-coding","ENSMUSG00000017716",11799
333,"ENSG00000105290","APLP1","amyloid beta precursor like protein 1","protein-coding","ENSMUSG00000006651",11803
334,"ENSG00000084234","APLP2","amyloid beta precursor like protein 2","protein-coding","ENSMUSG00000031996",11804
335,"ENSG00000118137","APOA1","apolipoprotein A1","protein-coding","ENSMUSG00000032083",11806
336,"ENSG00000158874","APOA2","apolipoprotein A2","protein-coding","ENSMUSG00000005681",11807
337,"ENSG00000110244","APOA4","apolipoprotein A4","protein-coding","ENSMUSG00000032080",11808
338,"ENSG00000084674","APOB","apolipoprotein B","protein-coding","ENSMUSG00000020609",238055
339,"ENSG00000111701","APOBEC1","apolipoprotein B mRNA editing enzyme catalytic subunit 1","protein-coding","ENSMUSG00000040613",11810
341,"ENSG00000130208","APOC1","apolipoprotein C1","protein-coding","ENSMUSG00000040564",11812
343,"ENSG00000103375","AQP8","aquaporin 8","protein-coding","ENSMUSG00000030762",11833
344,"ENSG00000234906","APOC2","apolipoprotein C2","protein-coding","ENSMUSG00000002992",11813
345,"ENSG00000110245","APOC3","apolipoprotein C3","protein-coding","ENSMUSG00000032081",11814
346,"ENSG00000267467","APOC4","apolipoprotein C4","protein-coding","ENSMUSG00000074336",11425
347,"ENSG00000189058","APOD","apolipoprotein D","protein-coding","ENSMUSG00000022548",11815
348,"ENSG00000130203","APOE","apolipoprotein E","protein-coding","ENSMUSG00000002985",11816
350,"ENSG00000091583","APOH","apolipoprotein H","protein-coding","ENSMUSG00000000049",11818
351,"ENSG00000142192","APP","amyloid beta precursor protein","protein-coding","ENSMUSG00000022892",11820
353,"ENSG00000198931","APRT","adenine phosphoribosyltransferase","protein-coding","ENSMUSG00000006589",11821
355,"ENSG00000026103","FAS","Fas cell surface death receptor","protein-coding","ENSMUSG00000024778",14102
356,"ENSG00000117560","FASLG","Fas ligand","protein-coding","ENSMUSG00000000817",14103
357,"ENSG00000146950","SHROOM2","shroom family member 2","protein-coding","ENSMUSG00000045180",110380
358,"ENSG00000240583","AQP1","aquaporin 1 (Colton blood group)","protein-coding","ENSMUSG00000004655",11826
359,"ENSG00000167580","AQP2","aquaporin 2","protein-coding","ENSMUSG00000023013",11827
360,"ENSG00000165272","AQP3","aquaporin 3 (Gill blood group)","protein-coding","ENSMUSG00000028435",11828
361,"ENSG00000171885","AQP4","aquaporin 4","protein-coding","ENSMUSG00000024411",11829
362,"ENSG00000161798","AQP5","aquaporin 5","protein-coding","ENSMUSG00000044217",11830
363,"ENSG00000086159","AQP6","aquaporin 6","protein-coding","ENSMUSG00000043144",11831
364,"ENSG00000165269","AQP7","aquaporin 7","protein-coding","ENSMUSG00000028427",11832
366,"ENSG00000103569","AQP9","aquaporin 9","protein-coding","ENSMUSG00000032204",64008
367,"ENSG00000169083","AR","androgen receptor","protein-coding","ENSMUSG00000046532",11835
368,"ENSG00000091262","ABCC6","ATP binding cassette subfamily C member 6","protein-coding","ENSMUSG00000030834",27421
369,"ENSG00000078061","ARAF","A-Raf proto-oncogene, serine/threonine kinase","protein-coding","ENSMUSG00000001127",11836
372,"ENSG00000095139","ARCN1","archain 1","protein-coding","ENSMUSG00000032096",213827
373,"ENSG00000113595","TRIM23","tripartite motif containing 23","protein-coding","ENSMUSG00000021712",81003
374,"ENSG00000109321","AREG","amphiregulin","protein-coding","ENSMUSG00000029378",11839
375,"ENSG00000143761","ARF1","ADP ribosylation factor 1","protein-coding","ENSMUSG00000048076",11840
377,"ENSG00000134287","ARF3","ADP ribosylation factor 3","protein-coding","ENSMUSG00000051853",11842
378,"ENSG00000168374","ARF4","ADP ribosylation factor 4","protein-coding","ENSMUSG00000021877",11843
379,"ENSG00000175906","ARL4D","ADP ribosylation factor like GTPase 4D","protein-coding","ENSMUSG00000034936",80981
381,"ENSG00000004059","ARF5","ADP ribosylation factor 5","protein-coding","ENSMUSG00000020440",11844
382,"ENSG00000165527","ARF6","ADP ribosylation factor 6","protein-coding","ENSMUSG00000044147",11845
383,"ENSG00000118520","ARG1","arginase 1","protein-coding","ENSMUSG00000019987",11846
384,"ENSG00000081181","ARG2","arginase 2","protein-coding","ENSMUSG00000021125",11847
387,"ENSG00000067560","RHOA","ras homolog family member A","protein-coding","ENSMUSG00000007815",11848
388,"ENSG00000143878","RHOB","ras homolog family member B","protein-coding","ENSMUSG00000054364",11852
389,"ENSG00000155366","RHOC","ras homolog family member C","protein-coding","ENSMUSG00000002233",11853
390,"ENSG00000115963","RND3","Rho family GTPase 3","protein-coding","ENSMUSG00000017144",74194
391,"ENSG00000177105","RHOG","ras homolog family member G","protein-coding","ENSMUSG00000073982",56212
392,"ENSG00000175220","ARHGAP1","Rho GTPase activating protein 1","protein-coding","ENSMUSG00000027247",228359
393,"ENSG00000089820","ARHGAP4","Rho GTPase activating protein 4","protein-coding","ENSMUSG00000031389",171207
394,"ENSG00000100852","ARHGAP5","Rho GTPase activating protein 5","protein-coding","ENSMUSG00000035133",11855
395,"ENSG00000047648","ARHGAP6","Rho GTPase activating protein 6","protein-coding","ENSMUSG00000031355",11856
396,"ENSG00000141522","ARHGDIA","Rho GDP dissociation inhibitor alpha","protein-coding","ENSMUSG00000025132",192662
397,"ENSG00000111348","ARHGDIB","Rho GDP dissociation inhibitor beta","protein-coding","ENSMUSG00000030220",11857
398,"ENSG00000242173","ARHGDIG","Rho GDP dissociation inhibitor gamma","protein-coding","ENSMUSG00000073433",14570
399,"ENSG00000168421","RHOH","ras homolog family member H","protein-coding","ENSMUSG00000029204",74734
400,"ENSG00000120805","ARL1","ADP ribosylation factor like GTPase 1","protein-coding","ENSMUSG00000060904",104303
401,"ENSG00000165462","PHOX2A","paired like homeobox 2A","protein-coding","ENSMUSG00000007946",11859
