"human_geneid","human_EnsemblID","human_Symbol","human_type_of_gene","human_description","marmoset_EnsemblID","marmoset_geneid","marmoset_Symbol","mouse_EnsemblID","mouse_geneid","mouse_Symbol","rhesus_macaque_EnsemblID","rhesus_macaque_geneid","rhesus_macaque_Symbol"
100,"ENSG00000196839","ADA","protein-coding","adenosine deaminase","ENSCJAG00000017705",100398570,"ADA","ENSMUSG00000017697",11486,"Ada","ENSMMUG00000010603",717897,"ADA"
101,"ENSG00000151651","ADAM8","protein-coding","ADAM metallopeptidase domain 8",NA,100393217,"ADAM8","ENSMUSG00000025473",11501,"Adam8","ENSMMUG00000023033",100428452,"ADAM8"
102,"ENSG00000137845","ADAM10","protein-coding","ADAM metallopeptidase domain 10",NA,100415138,"ADAM10","ENSMUSG00000054693",11487,"Adam10","ENSMMUG00000017507",701355,"ADAM10"
103,"ENSG00000160710","ADAR","protein-coding","adenosine deaminase RNA specific","ENSCJAG00000009410",100386367,"ADAR","ENSMUSG00000027951",56417,"Adar","ENSMMUG00000016093",718759,"ADAR"
104,"ENSG00000197381","ADARB1","protein-coding","adenosine deaminase RNA specific B1","ENSCJAG00000018646",100403399,"ADARB1","ENSMUSG00000020262",110532,"Adarb1","ENSMMUG00000010695",722016,"ADARB1"
105,"ENSG00000185736","ADARB2","protein-coding","adenosine deaminase RNA specific B2 (inactive)",NA,100402719,"ADARB2","ENSMUSG00000052551",94191,"Adarb2","ENSMMUG00000017120",722075,"ADARB2"
107,"ENSG00000164742","ADCY1","protein-coding","adenylate cyclase 1",NA,100394265,"ADCY1","ENSMUSG00000020431",432530,"Adcy1","ENSMMUG00000006421",697230,"ADCY1"
108,"ENSG00000078295","ADCY2","protein-coding","adenylate cyclase 2","ENSCJAG00000008816",100385658,"ADCY2","ENSMUSG00000021536",210044,"Adcy2","ENSMMUG00000018742",695328,"ADCY2"
109,"ENSG00000138031","ADCY3","protein-coding","adenylate cyclase 3",NA,100415165,"ADCY3","ENSMUSG00000020654",104111,"Adcy3","ENSMMUG00000009600",693523,"ADCY3"
111,"ENSG00000173175","ADCY5","protein-coding","adenylate cyclase 5",NA,100412782,"ADCY5","ENSMUSG00000022840",224129,"Adcy5","ENSMMUG00000002230",715897,"ADCY5"
112,"ENSG00000174233","ADCY6","protein-coding","adenylate cyclase 6",NA,100406617,"ADCY6","ENSMUSG00000022994",11512,"Adcy6","ENSMMUG00000006253",707978,"ADCY6"
113,"ENSG00000121281","ADCY7","protein-coding","adenylate cyclase 7",NA,100404620,"ADCY7","ENSMUSG00000031659",11513,"Adcy7","ENSMMUG00000003118",694730,"ADCY7"
114,"ENSG00000155897","ADCY8","protein-coding","adenylate cyclase 8","ENSCJAG00000004325",100404484,"ADCY8","ENSMUSG00000022376",11514,"Adcy8","ENSMMUG00000010440",695792,"ADCY8"
115,"ENSG00000162104","ADCY9","protein-coding","adenylate cyclase 9","ENSCJAG00000019746",100405403,"ADCY9","ENSMUSG00000005580",11515,"Adcy9","ENSMMUG00000039943",706789,"ADCY9"
116,"ENSG00000141433","ADCYAP1","protein-coding","adenylate cyclase activating polypeptide 1","ENSCJAG00000000097",100390670,"ADCYAP1","ENSMUSG00000024256",11516,"Adcyap1",NA,100424113,"ADCYAP1"
117,"ENSG00000078549","ADCYAP1R1","protein-coding","ADCYAP receptor type I",NA,100387025,"ADCYAP1R1","ENSMUSG00000029778",11517,"Adcyap1r1","ENSMMUG00000005299",695483,"ADCYAP1R1"
118,"ENSG00000087274","ADD1","protein-coding","adducin 1","ENSCJAG00000014227",100401343,"ADD1","ENSMUSG00000029106",11518,"Add1","ENSMMUG00000008379",700805,"ADD1"
119,"ENSG00000075340","ADD2","protein-coding","adducin 2",NA,100402289,"ADD2","ENSMUSG00000030000",11519,"Add2","ENSMMUG00000010592",702939,"ADD2"
120,"ENSG00000148700","ADD3","protein-coding","adducin 3","ENSCJAG00000018560",100409183,"ADD3","ENSMUSG00000025026",27360,"Add3","ENSMMUG00000006233",677712,"ADD3"
123,"ENSG00000147872","PLIN2","protein-coding","perilipin 2",NA,100414703,"PLIN2","ENSMUSG00000028494",11520,"Plin2",NA,NA,NA
126,"ENSG00000248144","ADH1C","protein-coding","alcohol dehydrogenase 1C (class I), gamma polypeptide",NA,NA,NA,"ENSMUSG00000074207",11522,"Adh1",NA,NA,NA
127,"ENSG00000198099","ADH4","protein-coding","alcohol dehydrogenase 4 (class II), pi polypeptide","ENSCJAG00000007244",100394688,"ADH4","ENSMUSG00000037797",26876,"Adh4","ENSMMUG00000011059",707367,"ADH4"
128,"ENSG00000197894","ADH5","protein-coding","alcohol dehydrogenase 5 (class III), chi polypeptide",NA,NA,NA,"ENSMUSG00000028138",11532,"Adh5","ENSMMUG00000003552",707258,"ADH5"
130,"ENSG00000172955","ADH6","protein-coding","alcohol dehydrogenase 6 (class V)",NA,NA,NA,NA,NA,NA,"ENSMMUG00000015966",707585,"ADH6"
131,"ENSG00000196344","ADH7","protein-coding","alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide","ENSCJAG00000034346",100389979,"ADH7","ENSMUSG00000055301",11529,"Adh7","ENSMMUG00000018738",708520,"ADH7"
132,"ENSG00000156110","ADK","protein-coding","adenosine kinase","ENSCJAG00000001291",100408817,"ADK","ENSMUSG00000039197",11534,"Adk","ENSMMUG00000022237",705246,"ADK"
133,"ENSG00000148926","ADM","protein-coding","adrenomedullin","ENSCJAG00000011137",100387881,"ADM","ENSMUSG00000030790",11535,"Adm","ENSMMUG00000016387",703305,"ADM"
134,"ENSG00000163485","ADORA1","protein-coding","adenosine A1 receptor",NA,100394821,"ADORA1","ENSMUSG00000042429",11539,"Adora1","ENSMMUG00000008714",703638,"ADORA1"
135,"ENSG00000128271","ADORA2A","protein-coding","adenosine A2a receptor","ENSCJAG00000009680",100395031,"ADORA2A","ENSMUSG00000020178",11540,"Adora2a","ENSMMUG00000008516",707865,"ADORA2A"
136,"ENSG00000170425","ADORA2B","protein-coding","adenosine A2b receptor",NA,100388327,"ADORA2B","ENSMUSG00000018500",11541,"Adora2b","ENSMMUG00000061127",696848,"ADORA2B"
140,"ENSG00000282608","ADORA3","protein-coding","adenosine A3 receptor",NA,100392449,"ADORA3",NA,NA,NA,NA,NA,NA
141,"ENSG00000144843","ADPRH","protein-coding","ADP-ribosylarginine hydrolase","ENSCJAG00000008966",100391892,"ADPRH","ENSMUSG00000002844",11544,"Adprh","ENSMMUG00000053955",712562,"ADPRH"
142,"ENSG00000143799","PARP1","protein-coding","poly(ADP-ribose) polymerase 1","ENSCJAG00000012831",100403519,"PARP1","ENSMUSG00000026496",11545,"Parp1","ENSMMUG00000021820",698806,"PARP1"
143,"ENSG00000102699","PARP4","protein-coding","poly(ADP-ribose) polymerase family member 4",NA,100386757,"PARP4","ENSMUSG00000054509",328417,"Parp4",NA,114669838,"PARP4"
146,"ENSG00000171873","ADRA1D","protein-coding","adrenoceptor alpha 1D","ENSCJAG00000021251",100397860,"ADRA1D","ENSMUSG00000027335",11550,"Adra1d","ENSMMUG00000052559",100430996,"ADRA1D"
147,"ENSG00000170214","ADRA1B","protein-coding","adrenoceptor alpha 1B","ENSCJAG00000019081",100395759,"ADRA1B","ENSMUSG00000050541",11548,"Adra1b","ENSMMUG00000050043",695106,"ADRA1B"
148,"ENSG00000120907","ADRA1A","protein-coding","adrenoceptor alpha 1A","ENSCJAG00000019873",100406276,"ADRA1A","ENSMUSG00000045875",11549,"Adra1a","ENSMMUG00000023112",712509,"ADRA1A"
150,"ENSG00000150594","ADRA2A","protein-coding","adrenoceptor alpha 2A",NA,103796811,"ADRA2A","ENSMUSG00000033717",11551,"Adra2a","ENSMMUG00000041307",695684,"ADRA2A"
151,"ENSG00000274286","ADRA2B","protein-coding","adrenoceptor alpha 2B",NA,100412057,"ADRA2B","ENSMUSG00000058620",11552,"Adra2b","ENSMMUG00000011842",694825,"ADRA2B"
152,"ENSG00000184160","ADRA2C","protein-coding","adrenoceptor alpha 2C",NA,108590995,"ADRA2C","ENSMUSG00000045318",11553,"Adra2c","ENSMMUG00000014781",719763,"ADRA2C"
153,"ENSG00000043591","ADRB1","protein-coding","adrenoceptor beta 1",NA,100387664,"ADRB1","ENSMUSG00000035283",11554,"Adrb1","ENSMMUG00000044756",100426598,"ADRB1"
154,"ENSG00000169252","ADRB2","protein-coding","adrenoceptor beta 2",NA,100414106,"ADRB2","ENSMUSG00000045730",11555,"Adrb2","ENSMMUG00000002214",710146,"ADRB2"
155,"ENSG00000188778","ADRB3","protein-coding","adrenoceptor beta 3",NA,100396232,"ADRB3","ENSMUSG00000031489",11556,"Adrb3","ENSMMUG00000005876",699129,"ADRB3"
156,"ENSG00000173020","GRK2","protein-coding","G protein-coupled receptor kinase 2",NA,118145540,"GRK2","ENSMUSG00000024858",110355,"Grk2","ENSMMUG00000015925",721754,"GRK2"
157,"ENSG00000100077","GRK3","protein-coding","G protein-coupled receptor kinase 3",NA,100396838,"GRK3","ENSMUSG00000042249",320129,"Grk3","ENSMMUG00000023790",714510,"GRK3"
158,"ENSG00000239900","ADSL","protein-coding","adenylosuccinate lyase",NA,100393664,"ADSL","ENSMUSG00000022407",11564,"Adsl","ENSMMUG00000005341",709259,"ADSL"
159,"ENSG00000035687","ADSS2","protein-coding","adenylosuccinate synthase 2",NA,100402806,"ADSS2","ENSMUSG00000015961",11566,"Adss2","ENSMMUG00000000016",713580,"ADSS2"
160,"ENSG00000196961","AP2A1","protein-coding","adaptor related protein complex 2 subunit alpha 1",NA,100414497,"AP2A1","ENSMUSG00000060279",11771,"Ap2a1","ENSMMUG00000011612",719038,"AP2A1"
161,"ENSG00000183020","AP2A2","protein-coding","adaptor related protein complex 2 subunit alpha 2",NA,100407362,"AP2A2","ENSMUSG00000002957",11772,"Ap2a2","ENSMMUG00000003620",720875,"AP2A2"
162,"ENSG00000100280","AP1B1","protein-coding","adaptor related protein complex 1 subunit beta 1",NA,100409914,"AP1B1","ENSMUSG00000009090",11764,"Ap1b1","ENSMMUG00000021380",714638,"AP1B1"
163,"ENSG00000006125","AP2B1","protein-coding","adaptor related protein complex 2 subunit beta 1",NA,100398465,"AP2B1","ENSMUSG00000035152",71770,"Ap2b1","ENSMMUG00000006048",100429215,"AP2B1"
164,"ENSG00000166747","AP1G1","protein-coding","adaptor related protein complex 1 subunit gamma 1",NA,100394696,"AP1G1","ENSMUSG00000031731",11765,"Ap1g1","ENSMMUG00000010878",710171,"AP1G1"
165,"ENSG00000106624","AEBP1","protein-coding","AE binding protein 1",NA,100415736,"AEBP1","ENSMUSG00000020473",11568,"Aebp1","ENSMMUG00000002422",699977,"AEBP1"
166,"ENSG00000104964","TLE5","protein-coding","TLE family member 5, transcriptional modulator",NA,128930548,"TLE5","ENSMUSG00000054452",14797,"Tle5","ENSMMUG00000002913",712353,"TLE5"
167,"ENSG00000124812","CRISP1","protein-coding","cysteine rich secretory protein 1","ENSCJAG00000011614",100395304,"CRISP1","ENSMUSG00000025431",11571,"Crisp1","ENSMMUG00000004190",574111,"CRISP1"
173,"ENSG00000079557","AFM","protein-coding","afamin","ENSCJAG00000013963",100403760,"AFM","ENSMUSG00000029369",280662,"Afm","ENSMMUG00000003831",703835,"AFM"
174,"ENSG00000081051","AFP","protein-coding","alpha fetoprotein",NA,100391306,"AFP","ENSMUSG00000054932",11576,"Afp","ENSMMUG00000003830",704786,"AFP"
175,"ENSG00000038002","AGA","protein-coding","aspartylglucosaminidase","ENSCJAG00000005476",100394328,"AGA","ENSMUSG00000031521",11593,"Aga","ENSMMUG00000007393",699740,"AGA"
176,"ENSG00000157766","ACAN","protein-coding","aggrecan",NA,100385452,"ACAN","ENSMUSG00000030607",11595,"Acan","ENSMMUG00000000554",698498,"ACAN"
177,"ENSG00000204305","AGER","protein-coding","advanced glycosylation end-product specific receptor","ENSCJAG00000001904",100414002,"AGER","ENSMUSG00000015452",11596,"Ager","ENSMMUG00000018442",717296,"AGER"
178,"ENSG00000162688","AGL","protein-coding","amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",NA,100393172,"AGL","ENSMUSG00000033400",77559,"Agl","ENSMMUG00000021441",710910,"AGL"
181,"ENSG00000159723","AGRP","protein-coding","agouti related neuropeptide","ENSCJAG00000016184",100403889,"AGRP","ENSMUSG00000005705",11604,"Agrp","ENSMMUG00000060341",698479,"AGRP"
182,"ENSG00000101384","JAG1","protein-coding","jagged canonical Notch ligand 1",NA,100414977,"JAG1","ENSMUSG00000027276",16449,"Jag1","ENSMMUG00000018116",718580,"JAG1"
183,"ENSG00000135744","AGT","protein-coding","angiotensinogen","ENSCJAG00000011972",100389395,"AGT","ENSMUSG00000031980",11606,"Agt","ENSMMUG00000005881",714203,"AGT"
185,"ENSG00000144891","AGTR1","protein-coding","angiotensin II receptor type 1","ENSCJAG00000001517",100406419,"AGTR1","ENSMUSG00000054988",11608,"Agtr1b",NA,712773,"AGTR1"
186,"ENSG00000180772","AGTR2","protein-coding","angiotensin II receptor type 2","ENSCJAG00000002516",100405479,"AGTR2","ENSMUSG00000068122",11609,"Agtr2","ENSMMUG00000055906",709513,"AGTR2"
187,"ENSG00000134817","APLNR","protein-coding","apelin receptor",NA,118145502,"APLNR","ENSMUSG00000044338",23796,"Aplnr","ENSMMUG00000010627",706823,"APLNR"
189,"ENSG00000172482","AGXT","protein-coding","alanine--glyoxylate aminotransferase","ENSCJAG00000006403",100390388,"AGXT","ENSMUSG00000026272",11611,"Agxt","ENSMMUG00000023435",699941,"AGXT"
190,"ENSG00000169297","NR0B1","protein-coding","nuclear receptor subfamily 0 group B member 1",NA,100405594,"NR0B1","ENSMUSG00000025056",11614,"Nr0b1","ENSMMUG00000012775",574154,"NR0B1"
191,"ENSG00000101444","AHCY","protein-coding","adenosylhomocysteinase","ENSCJAG00000018303",100400986,"AHCY","ENSMUSG00000027597",269378,"Ahcy","ENSMMUG00000016306",708183,"AHCY"
196,"ENSG00000106546","AHR","protein-coding","aryl hydrocarbon receptor","ENSCJAG00000001029",100410839,"AHR","ENSMUSG00000019256",11622,"Ahr","ENSMMUG00000012203",714254,"AHR"
197,"ENSG00000145192","AHSG","protein-coding","alpha 2-HS glycoprotein",NA,100403971,"AHSG","ENSMUSG00000022868",11625,"Ahsg","ENSMMUG00000017567",699348,"AHSG"
199,"ENSG00000204472","AIF1","protein-coding","allograft inflammatory factor 1","ENSCJAG00000003075",100399281,"AIF1","ENSMUSG00000024397",11629,"Aif1","ENSMMUG00000049735",574115,"AIF1"
202,"ENSG00000112297","CRYBG1","protein-coding","crystallin beta-gamma domain containing 1","ENSCJAG00000006246",100406444,"CRYBG1","ENSMUSG00000019866",11630,"Crybg1","ENSMMUG00000008120",697117,"CRYBG1"
203,"ENSG00000106992","AK1","protein-coding","adenylate kinase 1",NA,100400464,"AK1","ENSMUSG00000026817",11636,"Ak1","ENSMMUG00000060702",706338,"AK1"
204,"ENSG00000004455","AK2","protein-coding","adenylate kinase 2","ENSCJAG00000001105",100405742,"AK2","ENSMUSG00000028792",11637,"Ak2","ENSMMUG00000006284",709737,"AK2"
205,"ENSG00000162433","AK4","protein-coding","adenylate kinase 4","ENSCJAG00000016835",100387272,"AK4","ENSMUSG00000028527",11639,"Ak4","ENSMMUG00000053254",698560,"AK4"
207,"ENSG00000142208","AKT1","protein-coding","AKT serine/threonine kinase 1",NA,100404447,"AKT1","ENSMUSG00000001729",11651,"Akt1","ENSMMUG00000001044",697747,"AKT1"
